Datum,Zeit,Adr,ID-Nr.,HST,Nr.,Wert,Einheit,Beschreibung,Art,Modul,SP-Nr.,Tarif
01.02.10,00:00,3,9,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.02.10,00:00,3,9,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.02.10,00:00,3,9,GWF,19,00.00.00,,time point,instant.,0,1,0
01.02.10,00:00,3,9,GWF,20,$00,,M-Bus state,,,,
01.03.10,00:00,1,1,GWF,1,2806,kWh,energy,instant.,0,0,0
01.03.10,00:00,1,1,GWF,2,328.56,m^3,volume,instant.,0,0,0
01.03.10,00:00,1,1,GWF,3,324.54,m^3,volume,instant.,1,0,0
01.03.10,00:00,1,1,GWF,4,33,°C,flow temperature,instant.,0,0,0
01.03.10,00:00,1,1,GWF,5,33,°C,return temperature,instant.,0,0,0
01.03.10,00:00,1,1,GWF,6,0.5,K,temperature difference,instant.,0,0,0
01.03.10,00:00,1,1,GWF,7,1791,hours,on time,instant.,0,0,0
01.03.10,00:00,1,1,GWF,8,1791,hours,operating time,instant.,0,0,0
01.03.10,00:00,1,1,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.03.10,00:00,1,1,GWF,10,0,kW,power,instant.,0,0,0
01.03.10,00:00,1,1,GWF,11,28.02.10 23:53 Win  V,,time point,instant.,0,0,0
01.03.10,00:00,1,1,GWF,12,584,HCA,HCA-Unit,instant.,1,0,0
01.03.10,00:00,1,1,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.03.10,00:00,1,1,GWF,14,0,kWh,energy,instant.,0,1,0
01.03.10,00:00,1,1,GWF,15,0,m^3,volume,instant.,0,1,0
01.03.10,00:00,1,1,GWF,16,0,m^3,volume,instant.,1,1,0
01.03.10,00:00,1,1,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.03.10,00:00,1,1,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.03.10,00:00,1,1,GWF,19,00.00.00,,time point,instant.,0,1,0
01.03.10,00:00,1,1,GWF,20,$00,,M-Bus state,,,,
01.03.10,00:00,2,4,GWF,1,2826,kWh,energy,instant.,0,0,0
01.03.10,00:00,2,4,GWF,2,295.47,m^3,volume,instant.,0,0,0
01.03.10,00:00,2,4,GWF,3,291,m^3,volume,instant.,1,0,0
01.03.10,00:00,2,4,GWF,4,31,°C,flow temperature,instant.,0,0,0
01.03.10,00:00,2,4,GWF,5,34,°C,return temperature,instant.,0,0,0
01.03.10,00:00,2,4,GWF,6,0,K,temperature difference,instant.,0,0,0
01.03.10,00:00,2,4,GWF,7,1790,hours,on time,instant.,0,0,0
01.03.10,00:00,2,4,GWF,8,1790,hours,operating time,instant.,0,0,0
01.03.10,00:00,2,4,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.03.10,00:00,2,4,GWF,10,0,kW,power,instant.,0,0,0
01.03.10,00:00,2,4,GWF,11,28.02.10 23:53 Win  V,,time point,instant.,0,0,0
01.03.10,00:00,2,4,GWF,12,1294,HCA,HCA-Unit,instant.,1,0,0
01.03.10,00:00,2,4,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.03.10,00:00,2,4,GWF,14,0,kWh,energy,instant.,0,1,0
01.03.10,00:00,2,4,GWF,15,0,m^3,volume,instant.,0,1,0
01.03.10,00:00,2,4,GWF,16,0,m^3,volume,instant.,1,1,0
01.03.10,00:00,2,4,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.03.10,00:00,2,4,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.03.10,00:00,2,4,GWF,19,00.00.00,,time point,instant.,0,1,0
01.03.10,00:00,2,4,GWF,20,$00,,M-Bus state,,,,
01.03.10,00:00,4,5,GWF,1,3690,kWh,energy,instant.,0,0,0
