time;centralHeatMeter
2018-11-20;52831.68426
2018-11-21;53008.87072
2018-11-22;53199.68997
2018-11-23;53391.65863
2018-11-24;53551.02742
2018-11-25;53676.96271
2018-11-26;53852.5658
2018-11-27;54034.19107
2018-11-28;54214.28772
2018-11-29;54394.55758
2018-11-30;54480.44545
2018-12-01;54661.499
2018-12-02;54732.44677
2018-12-03;54831.4688
2018-12-04;54905.84795
2018-12-05;55017.20716
2018-12-06;55142.14181
2018-12-07;55215.14778
2018-12-08;55298.71807
2018-12-09;55424.5538
2018-12-10;55533.64028
2018-12-11;55715.1649
2018-12-12;55909.72562
2018-12-13;56133.77083
2018-12-14;56364.33848
2018-12-15;56575.28663
2018-12-16;56785.30722
2018-12-17;56953.01156
2018-12-18;57127.76331
2018-12-19;57311.26057
2018-12-20;57468.51253
2018-12-21;57593.43607
2018-12-22;57709.8415
2018-12-23;57802.09856
2018-12-24;57887.66058
2018-12-25;58036.7709
2018-12-26;58257.68272
2018-12-27;58434.86262
2018-12-28;58620.98466
2018-12-29;58785.14162
2018-12-30;58960.23697
2018-12-31;59118.72597
2019-01-01;59243.25396
2019-01-02;59390.68015
2019-01-03;59610.24505
2019-01-04;59849.43376
2019-01-05;59981.60713
2019-01-06;60071.92252
2019-01-07;60204.35925
2019-01-08;60301.73696
2019-01-09;60427.87694
2019-01-10;60553.54318
2019-01-11;60681.68797
2019-01-12;60807.70563
2019-01-13;60929.64378
2019-01-14;61062.01357
2019-01-15;61192.87198
2019-01-16;61318.94137
2019-01-17;61425.37227
2019-01-18;61548.20457
2019-01-19;61693.47947
2019-01-20;61840.90173
2019-01-21;61984.67885
2019-01-22;62099.4086
2019-01-23;62263.19734
2019-01-24;62442.73855
2019-01-25;62621.31437
2019-01-26;62779.64572
2019-01-27;62902.69895
2019-01-28;63022.28335
2019-01-29;63151.34035
2019-01-30;63274.56535
2019-01-31;63412.62738
2019-02-01;63575.88165
2019-02-02;63689.09725
2019-02-03;63824.15163
2019-02-04;63947.35122
2019-02-05;64103.66971
2019-02-06;64263.28389
2019-02-07;64433.34171
2019-02-08;64579.27816
2019-02-09;64699.41281
2019-02-10;64786.01538
2019-02-11;64888.44781
2019-02-12;65009.72984
2019-02-13;65142.21059
2019-02-14;65269.56166
2019-02-15;65385.25866
2019-02-16;65491.44086
2019-02-17;65576.68157
2019-02-18;65659.04821
2019-02-19;65741.72655
2019-02-20;65806.32146
2019-02-21;65875.6706
2019-02-22;65922.11045
2019-02-23;65974.54704
2019-02-24;66068.36071
2019-02-25;66168.57759
2019-02-26;66263.53142
2019-02-27;66328.33978
2019-02-28;66383.79536
2019-03-01;66418.20235
2019-03-02;66489.89993
2019-03-03;66561.59308
2019-03-04;66601.57382
2019-03-05;66673.34538
2019-03-06;66739.64841
2019-03-07;66783.93651
2019-03-08;66846.61941
2019-03-09;66901.75725
2019-03-10;66952.46307
2019-03-11;67012.04057
2019-03-12;67108.23372
2019-03-13;67187.5663
2019-03-14;67282.26631
2019-03-15;67373.49954
2019-03-16;67445.71925
2019-03-17;67481.54058
2019-03-18;67529.1464
2019-03-19;67619.88921
2019-03-20;67709.87587
2019-03-21;67796.06801
2019-03-22;67843.12018
2019-03-23;67897.07444
2019-03-24;67933.68304
2019-03-25;67959.78843
2019-03-26;68009.97156
2019-03-27;68079.69944
2019-03-28;68151.03859
2019-03-29;68207.22856
2019-03-30;68240.79594
2019-03-31;68274.10397
2019-04-01;68298.41606
2019-04-02;68319.91203
2019-04-03;68341.32009
2019-04-04;68389.39007
2019-04-05;68482.01913
2019-04-06;68529.16864
2019-04-07;68583.40199
2019-04-08;68619.89215
2019-04-09;68648.3111
2019-04-10;68682.63018
2019-04-11;68719.94795
2019-04-12;68795.3011
2019-04-13;68865.8795
2019-04-14;68955.02561
2019-04-15;69058.48074
2019-04-16;69122.09546
2019-04-17;69161.57412
2019-04-18;69186.7279
2019-04-19;69206.18896
2019-04-20;69211.00329
2019-04-21;69211.00329
2019-04-22;69211.00329
2019-04-23;69211.00329
2019-04-24;69211.00329
2019-04-25;69211.00329
2019-04-26;69222.91945
2019-04-27;69268.1762
2019-04-28;69303.88396
2019-04-29;69387.36061
2019-04-30;69446.09497
2019-05-01;69482.8336
2019-05-02;69509.19104
2019-05-03;69534.53664
2019-05-04;69574.4803
2019-05-05;69640.05869
2019-05-06;69727.07625
2019-05-07;69780.14542
2019-05-08;69816.48488
2019-05-09;69860.28332
2019-05-10;69896.57411
2019-05-11;69926.59538
2019-05-12;69951.1867
2019-05-13;69986.07378
2019-05-14;70027.88627
2019-05-15;70051.37154
2019-05-16;70080.67717
2019-05-17;70106.16137
2019-05-18;70115.94464
2019-05-19;70116.00333
2019-05-20;70116.22106
2019-05-21;70141.20247
2019-05-22;70169.36365
2019-05-23;70174.00333
2019-05-24;70174.00333
2019-05-25;70174.00333
2019-05-26;70174.00333
2019-05-27;70174.00333
2019-05-28;70174.00333
2019-05-29;70183.28337
2019-05-30;70207.74662
2019-05-31;70213.00333
2019-06-01;70213.00333
2019-06-02;70213.00333
2019-06-03;70213.00333
2019-06-04;70213.00333
2019-06-05;70213.00333
2019-06-06;70213.00333
2019-06-07;70213.00333
2019-06-08;70213.00333
2019-06-09;70213.00333
2019-06-10;70213.00333
2019-06-11;70213.00333
2019-06-12;70213.41737
2019-06-13;70214.00333
2019-06-14;70214.00333
2019-06-15;70214.00333
2019-06-16;70214.00333
2019-06-17;70214.00333
2019-06-18;70214.00333
2019-06-19;70214.00333
2019-06-20;70214.00333
2019-06-21;70214.00333
2019-06-22;70214.00333
2019-06-23;70214.00333
2019-06-24;70214.00333
2019-06-25;70214.00333
2019-06-26;70214.96524
2019-06-27;70215.00333
2019-06-28;70215.00334
2019-06-29;
2019-06-30;
2019-07-01;70215
2019-07-02;70215
2019-07-03;70215
2019-07-04;70215
2019-07-05;70215
2019-07-06;70215
2019-07-07;70215.00028
2019-07-08;70215.00333
2019-07-09;70215.00333
2019-07-10;70215.00333
2019-07-11;70215.4689
2019-07-12;70216.00333
2019-07-13;70216.00333
2019-07-14;70216.00333
2019-07-15;70216.00333
2019-07-16;70216.00333
2019-07-17;70216.00333
2019-07-18;70216.00333
2019-07-19;70216.00333
2019-07-20;70216.00333
2019-07-21;70216.00333
2019-07-22;70216.00333
2019-07-23;70216.00333
2019-07-24;70216.00333
2019-07-25;70216.00333
2019-07-26;70216.00333
2019-07-27;70216.87222
2019-07-28;70217.00333
2019-07-29;70217.00333
2019-07-30;70217.00333
2019-07-31;70217.00333
2019-08-01;70217.00333
2019-08-02;70217.00333
2019-08-03;70217.00333
2019-08-04;70217.00333
2019-08-05;70217.00333
2019-08-06;70217.00333
2019-08-07;70217.00333
2019-08-08;70217.00333
2019-08-09;70217.00333
2019-08-10;70217.00333
2019-08-11;70217.00333
2019-08-12;70217.00333
2019-08-13;70217.40566
2019-08-14;70218.00333
2019-08-15;70218.00333
2019-08-16;70218.00333
2019-08-17;70218.00333
2019-08-18;70218.00333
2019-08-19;70218.00333
2019-08-20;70218.00333
2019-08-21;70218.00333
2019-08-22;70218.00333
2019-08-23;70218.00333
2019-08-24;70218.00333
2019-08-25;70218.00333
2019-08-26;70218.00333
2019-08-27;70218.00333
2019-08-28;70218.44333
2019-08-29;70219.00333
2019-08-30;70219.00333
2019-08-31;70219.00333
2019-09-01;70219.00333
2019-09-02;70219.00333
2019-09-03;70220.34984
2019-09-04;70222.00333
2019-09-05;70222.48587
2019-09-06;70224.35978
2019-09-07;70228.00334
2019-09-08;70228.36987
2019-09-09;70232.25533
2019-09-10;70235.00334
2019-09-11;70235.54575
2019-09-12;70236.00334
2019-09-13;70236.00334
2019-09-14;70236.00334
2019-09-15;70236.00334
2019-09-16;70236.00334
2019-09-17;70236.00334
2019-09-18;70236.00334
2019-09-19;70236.00334
2019-09-20;70238.23896
2019-09-21;70242.57946
2019-09-22;70244.46736
2019-09-23;70245.00334
2019-09-24;70247.3196
2019-09-25;70251.00334
2019-09-26;70251.00334
2019-09-27;70251.00334
2019-09-28;70251.00334
2019-09-29;70251.00334
2019-09-30;70251.00334
2019-10-01;70252.26083
2019-10-02;70253.00334
2019-10-03;70255.67853
2019-10-04;70264.56704
2019-10-05;70280.43382
2019-10-06;70293.35412
2019-10-07;70313.36246
2019-10-08;70329.09808
2019-10-09;70340.04189
2019-10-10;70356.08301
2019-10-11;70385.2264
2019-10-12;70405.10912
2019-10-13;70410.00334
2019-10-14;70410.00334
2019-10-15;70410.10998
2019-10-16;70422.48906
2019-10-17;70433.47966
2019-10-18;70437.00335
2019-10-19;70437.00335
2019-10-20;70450.82212
2019-10-21;70470.26077
2019-10-22;70477.00697
2019-10-23;70499.61033
2019-10-24;70526.50054
2019-10-25;70532.0556
2019-10-26;70546.81825
2019-10-27;70568.71059
2019-10-28;70575.00335
2019-10-29;70592.37651
2019-10-30;70664.65396
2019-10-31;70747.47885
2019-11-01;70770.81692
2019-11-02;70839.77347
2019-11-03;70873.63139
2019-11-04;70916.45606
2019-11-05;70951.08879
2019-11-06;70998.15527
2019-11-07;71065.80152
2019-11-08;71119.07702
2019-11-09;71205.6681
2019-11-10;71305.15191
2019-11-11;71420.54752
2019-11-12;71518.68689
2019-11-13;71624.43896
2019-11-14;71731.47084
2019-11-15;71840.77042
2019-11-16;71943.54999
2019-11-17;72048.34411
2019-11-18;72160.93331
2019-11-19;72256.685
2019-11-20;72369.64329
2019-11-21;72475.19638
2019-11-22;72602.47428
2019-11-23;72715.31536
2019-11-24;72778.86429
2019-11-25;72868.3579
2019-11-26;72981.70977
2019-11-27;73080.3575
2019-11-28;73152.7676
2019-11-29;73237.32949
2019-11-30;73350.34871
2019-12-01;73466.01715
2019-12-02;73586.66022
2019-12-03;73704.52753
2019-12-04;73858.68802
2019-12-05;74002.25408
2019-12-06;74120.6444
2019-12-07;74225.34889
2019-12-08;74296.70616
2019-12-09;74364.12399
2019-12-10;74472.96679
2019-12-11;74588.71831
2019-12-12;74733.3939
2019-12-13;74862.56618
2019-12-14;74984.10782
2019-12-15;75064.37276
2019-12-16;75147.79458
2019-12-17;75250.46597
2019-12-18;75359.47025
2019-12-19;75423.73435
2019-12-20;75507.58403
2019-12-21;75622.33339
2019-12-22;75698.80434
2019-12-23;75780.76826
2019-12-24;75884.35776
2019-12-25;76012.35151
2019-12-26;76140.27471
2019-12-27;76280.96121
2019-12-28;76405.21488
2019-12-29;76555.47389
2019-12-30;76725.27271
2019-12-31;76889.7561
2020-01-01;77027.03318
2020-01-02;77182.43187
2020-01-03;77351.25009
2020-01-04;77438.91488
2020-01-05;77563.45322
2020-01-06;77712.09889
2020-01-07;77850.80134
2020-01-08;77986.24486
2020-01-09;78119.676
2020-01-10;78214.22652
2020-01-11;78324.17718
2020-01-12;78452.0021
2020-01-13;78585.85966
2020-01-14;78706.69861
2020-01-15;78809.81974
2020-01-16;78868.14544
2020-01-17;78963.83829
2020-01-18;79040.61634
2020-01-19;79168.10679
2020-01-20;79307.15774
2020-01-21;79488.75192
2020-01-22;79683.5629
2020-01-23;79865.45379
2020-01-24;80054.86069
2020-01-25;80179.8521
2020-01-26;80323.97419
2020-01-27;80467.14745
2020-01-28;80538.26074
2020-01-29;80665.0302
2020-01-30;80796.46707
2020-01-31;80883.08247
2020-02-01;80941.92436
2020-02-02;81002.92622
2020-02-03;81059.74511
2020-02-04;81122.50839
2020-02-05;81243.81198
2020-02-06;81370.1559
2020-02-07;81495.55021
2020-02-08;81629.68448
2020-02-09;81735.48566
2020-02-10;81800.65049
2020-02-11;81860.67796
2020-02-12;81971.7904
2020-02-13;82101.81398
2020-02-14;82194.31307
2020-02-15;82300.90609
2020-02-16;82384.36629
2020-02-17;82446.47557
2020-02-18;82518.36561
2020-02-19;82613.52642
2020-02-20;82721.59441
2020-02-21;82787.63978
2020-02-22;82898.37747
2020-02-23;82959.68251
2020-02-24;82981.98166
2020-02-25;82993.45728
2020-02-26;83068.30518
2020-02-27;83211.54248
2020-02-28;83346.56727
2020-02-29;83434.25712
2020-03-01;83487.90188
2020-03-02;83564.45526
2020-03-03;83662.74695
2020-03-04;83778.96874
2020-03-05;83887.79458
2020-03-06;83955.76721
2020-03-07;84060.58528
2020-03-08;84180.49924
2020-03-09;84286.7589
2020-03-10;84386.5971
2020-03-11;84484.64999
2020-03-12;84528.3958
2020-03-13;84569.51952
2020-03-14;84642.54926
2020-03-15;84733.7819
2020-03-16;84796.47353
2020-03-17;84858.3851
2020-03-18;84895.63037
2020-03-19;84920.51542
2020-03-20;84926.98719
2020-03-21;84966.32533
